image_id,split,label
IMG000001.jpeg,train,Malignant
IMG000002.jpeg,train,Malignant
IMG000003.jpeg,train,Malignant
IMG000004.jpeg,train,Malignant
IMG000005.jpeg,train,Malignant
IMG000006.jpeg,train,Malignant
IMG000007.jpeg,train,Malignant
IMG000008.jpeg,train,Malignant
IMG000009.jpeg,train,Malignant
IMG000010.jpeg,train,Malignant
IMG000012.jpeg,train,Malignant
IMG000013.jpeg,train,Malignant
IMG000014.jpeg,train,Malignant
IMG000015.jpeg,train,Malignant
IMG000016.jpeg,train,Malignant
IMG000017.jpeg,train,Malignant
IMG000018.jpeg,train,Malignant
IMG000019.jpeg,train,Malignant
IMG000020.jpeg,train,Malignant
IMG000021.jpeg,train,Malignant
IMG000022.jpeg,train,Malignant
IMG000024.jpeg,train,Malignant
IMG000025.jpeg,train,Malignant
IMG000026.jpeg,train,Malignant
IMG000027.jpeg,train,Malignant
IMG000028.jpeg,train,Malignant
IMG000029.jpeg,train,Malignant
IMG000030.jpeg,train,Malignant
IMG000032.jpeg,train,Malignant
IMG000033.jpeg,train,Malignant
IMG000034.jpeg,train,Malignant
IMG000035.jpeg,train,Malignant
IMG000036.jpeg,train,Malignant
IMG000039.jpeg,train,Malignant
IMG000040.jpeg,train,Malignant
IMG000041.jpeg,train,Malignant
IMG000042.jpeg,train,Malignant
IMG000043.jpeg,train,Malignant
IMG000044.jpeg,train,Malignant
IMG000045.jpeg,train,Malignant
IMG000048.jpeg,train,Malignant
IMG000049.jpeg,train,Malignant
IMG000050.jpeg,train,Malignant
IMG000051.jpeg,train,Malignant
IMG000052.jpeg,train,Malignant
IMG000053.jpeg,train,Malignant
IMG000054.jpeg,train,Malignant
IMG000055.jpeg,train,Malignant
IMG000056.jpeg,train,Malignant
IMG000057.jpeg,train,Malignant
IMG000058.jpeg,train,Malignant
IMG000059.jpeg,train,Malignant
IMG000061.jpeg,train,Malignant
IMG000062.jpeg,train,Malignant
IMG000063.jpeg,train,Malignant
IMG000064.jpeg,train,Malignant
IMG000065.jpeg,train,Malignant
IMG000066.jpeg,train,Malignant
IMG000067.jpeg,train,Malignant
IMG000069.jpeg,train,Malignant
IMG000070.jpeg,train,Malignant
IMG000071.jpeg,train,Malignant
IMG000073.jpeg,train,Malignant
IMG000075.jpeg,train,Malignant
IMG000076.jpeg,train,Malignant
IMG000077.jpeg,train,Malignant
IMG000078.jpeg,train,Malignant
IMG000079.jpeg,train,Malignant
IMG000080.jpeg,train,Malignant
IMG000081.jpeg,train,Malignant
IMG000082.jpeg,train,Malignant
IMG000083.jpeg,train,Malignant
IMG000084.jpeg,train,Malignant
IMG000085.jpeg,train,Malignant
IMG000086.jpeg,train,Malignant
IMG000087.jpeg,train,Malignant
IMG000088.jpeg,train,Malignant
IMG000089.jpeg,train,Malignant
IMG000091.jpeg,train,Malignant
IMG000093.jpeg,train,Malignant
IMG000094.jpeg,train,Malignant
IMG000095.jpeg,train,Malignant
IMG000096.jpeg,train,Malignant
IMG000097.jpeg,train,Malignant
IMG000098.jpeg,train,Malignant
IMG000099.jpeg,train,Malignant
